,Content ID,Type,Category,Reaction Type,Datetime,Sentimant,Score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,disgust,07-11-2020 09:43,negative,0
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,disgust,06-01-2021 19:13,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,disgust,09-04-2021 02:46,negative,0
3,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,disgust,28-03-2021 21:15,negative,0
4,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,disgust,04-08-2020 05:40,negative,0
5,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,14-01-2021 07:21,negative,0
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,13-01-2021 23:35,negative,0
7,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,11-02-2021 20:10,negative,0
8,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,disgust,27-05-2021 01:44,negative,0
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,disgust,13-02-2021 04:14,negative,0
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,disgust,07-11-2020 08:49,negative,0
11,0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,31-03-2021 15:51,negative,0
12,0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,11-09-2020 16:22,negative,0
13,0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,13-10-2020 16:31,negative,0
14,0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,23-07-2020 19:31,negative,0
15,81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,08-12-2020 13:12,negative,0
16,81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,05-01-2021 13:15,negative,0
17,81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,08-11-2020 02:43,negative,0
18,81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,19-04-2021 01:45,negative,0
19,81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,18-10-2020 12:49,negative,0
20,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,GIF,fitness,disgust,08-02-2021 03:28,negative,0
21,f332d362-dc48-46c2-a64b-641157c0987e,GIF,soccer,disgust,15-02-2021 20:35,negative,0
22,a2e93b29-9259-4092-a4d7-62d5e823bb74,video,public speaking,disgust,09-06-2021 09:41,negative,0
23,a2e93b29-9259-4092-a4d7-62d5e823bb74,video,public speaking,disgust,26-12-2020 06:13,negative,0
24,a2e93b29-9259-4092-a4d7-62d5e823bb74,video,public speaking,disgust,15-06-2021 17:31,negative,0
25,9b3a6d30-48e8-476c-82be-9031524bd04d,video,food,disgust,21-11-2020 03:14,negative,0
26,9b3a6d30-48e8-476c-82be-9031524bd04d,video,food,disgust,01-01-2021 11:23,negative,0
27,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,video,tennis,disgust,10-04-2021 09:41,negative,0
28,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,video,tennis,disgust,14-12-2020 12:53,negative,0
29,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,video,tennis,disgust,06-10-2020 10:20,negative,0
30,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,video,tennis,disgust,27-08-2020 15:08,negative,0
31,baa2db00-81ba-4c34-b17d-dd950bfa133b,GIF,soccer,disgust,13-09-2020 08:14,negative,0
32,baa2db00-81ba-4c34-b17d-dd950bfa133b,GIF,soccer,disgust,19-08-2020 03:04,negative,0
33,baa2db00-81ba-4c34-b17d-dd950bfa133b,GIF,soccer,disgust,09-03-2021 21:30,negative,0
34,f98dde71-ce1d-4f6c-bb05-ae05779d2207,GIF,soccer,disgust,12-12-2020 23:02,negative,0
35,f98dde71-ce1d-4f6c-bb05-ae05779d2207,GIF,soccer,disgust,30-03-2021 23:01,negative,0
36,f98dde71-ce1d-4f6c-bb05-ae05779d2207,GIF,soccer,disgust,22-10-2020 03:40,negative,0
37,388bd9db-9d10-4f47-87c4-6db46e83bc95,video,education,disgust,31-03-2021 00:16,negative,0
38,78d0075f-895c-4a15-a35c-a921e2bb2cea,photo,studying,disgust,07-12-2020 00:39,negative,0
39,78d0075f-895c-4a15-a35c-a921e2bb2cea,photo,studying,disgust,07-04-2021 22:07,negative,0
40,78d0075f-895c-4a15-a35c-a921e2bb2cea,photo,studying,disgust,06-07-2020 19:29,negative,0
41,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,disgust,11-09-2020 20:55,negative,0
42,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,disgust,26-07-2020 11:28,negative,0
43,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,audio,dogs,disgust,11-05-2021 03:04,negative,0
44,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,disgust,28-04-2021 07:00,negative,0
45,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,disgust,05-08-2020 15:37,negative,0
46,2920dccb-e06f-49fc-8049-b6d4164dfe84,GIF,veganism,disgust,21-07-2020 09:23,negative,0
47,2920dccb-e06f-49fc-8049-b6d4164dfe84,GIF,veganism,disgust,21-06-2020 14:10,negative,0
48,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,disgust,08-03-2021 02:51,negative,0
49,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,video,food,disgust,21-02-2021 08:37,negative,0
50,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,video,food,disgust,04-12-2020 13:10,negative,0
